Configuration,ML-KEM,KeyGen_stack,KeyGen_heap,Encaps_stack,Encaps_heap,Decaps_stack,Decaps_heap
OPT_IMAGE_SIZE,768,6096,6148,6144,10756,6096,11848
OPT_LOW_RAM,768,6368,6148,6528,4612,6480,5704
OPT_SPEED,768,6400,6148,6448,10756,6400,11848
OPT_BALANCED,768,6400,6148,6560,4612,6512,5704
