Configuration,ML-KEM,KeyGen,Encaps,Decaps
OPT_SIZE,768,1864249,2081721,2295136
OPT_STACK,768,1778916,1940771,2145270
OPT_SPEED,768,1199201,1276368,1382368
OPT_BALANCED,768,1213222,1361818,1562774
